0H 0L 1H 1L 2H 2L 3H 3L 4H 4L
1.304960 1.539037 1.400718 1.389038 1.632982 1.546137 1.425167 1.505309 1.237725 1.399689

0.992217 0.900878 0.756897 1.132532 0.747729 0.960345 0.836356 1.096142 0.965731 0.943481

1.115481 1.097030 1.083901 1.074841 1.100200 0.967445 1.023797 1.095255 1.138911 1.095255

0.931095 0.860938 0.914796 1.018924 1.060471 0.995847 0.913777 1.050876 0.896459 0.766856

0.941282 1.092592 1.141967 0.872476 1.140948 0.870701 1.154191 0.844074 0.998330 1.160047

0.898497 1.167147 0.916833 1.079278 0.624465 1.167147 0.939245 1.039338 0.849599 1.194662

1.053340 1.016261 1.062508 0.788157 1.276436 1.202650 1.016666 0.876914 1.073714 0.914191

0.891366 0.953244 1.135855 1.105018 0.949432 0.907978 1.150117 1.017149 0.850618 1.014486

1.002404 0.931055 0.811907 0.710939 1.102237 1.073953 0.857749 0.796145 1.095107 0.955019

1.221426 1.126319 1.001386 1.171585 0.782364 0.929280 0.957582 1.073065 1.153173 1.151171

1.066583 1.080166 0.806813 1.053539 1.148079 1.027800 0.845524 1.098805 1.064545 1.011824

0.929058 0.908866 1.074732 0.945256 1.003423 1.056202 1.039078 0.978096 0.892384 0.854725

1.000367 0.988747 0.719205 1.072178 0.979993 1.025137 0.743654 1.022474 1.095107 1.096142

1.038059 1.080166 1.210220 1.005611 0.991199 0.948806 1.161322 1.036675 0.944338 1.035788

1.026853 0.932830 0.759953 0.897328 1.181696 1.013599 0.862842 0.938156 1.099181 0.894665

0.875067 0.954132 1.205127 1.089929 0.860805 0.961232 1.118537 1.019812 0.774215 1.009161

0.903590 1.039338 0.931095 0.950582 1.011573 1.207975 0.961656 1.012711 0.990180 1.067740

0.834318 1.096142 0.992217 1.401464 0.715130 1.131645 0.971843 1.336672 0.853674 1.042001

1.126686 0.935493 0.992217 0.729578 1.181696 1.074841 1.006479 0.941706 1.119555 0.941706

1.414980 1.173360 1.001386 1.059752 1.028891 1.099692 0.978974 0.838748 1.396643 1.208863

0.645858 0.905316 1.126686 1.105018 1.023797 0.866263 1.128724 1.096142 0.552137 0.853837

1.062508 1.049101 1.127705 0.543189 1.035003 1.184899 1.129742 0.675437 1.199014 1.096142

1.066583 0.936381 0.805795 1.244365 1.133817 0.941706 0.855711 1.073953 1.022779 0.976321

0.794589 1.086379 1.002404 0.989634 1.011573 0.972771 0.946376 1.067740 0.763009 1.039338

1.167435 1.033125 1.022779 0.987859 0.872010 0.866263 1.064545 1.000285 1.247912 0.988747

0.904609 1.053539 0.817000 1.013599 0.917852 0.959457 0.807832 1.018924 0.814963 1.087266

1.098163 0.929280 1.183734 1.202650 1.056396 1.103243 1.135855 1.171585 1.186790 0.999398

0.908684 1.079278 1.133817 0.876914 0.812926 1.138745 1.167435 0.937268 0.869973 1.019812

0.995274 1.146733 0.885254 1.027800 0.985087 1.045551 0.917852 0.965670 0.959619 1.050876

0.932114 0.852062 1.167435 0.978096 0.715130 0.920404 1.088994 0.989634 0.985087 0.886677

1.071676 1.146733 0.429893 1.082829 1.272361 1.126319 0.513427 1.098805 1.067602 1.279868

1.017685 1.031350 1.351820 1.045551 1.077789 1.003835 1.279492 1.036675 1.003423 0.900878

1.058433 0.960345 1.107331 1.051764 0.887291 0.936381 1.175584 1.049101 1.017685 0.956795

0.833300 1.000285 0.780327 1.181348 0.892384 0.877801 0.775234 1.155609 0.861823 1.063302

1.079826 1.140520 1.258099 1.036675 1.150117 1.257679 1.186790 1.071290 1.077789 1.184899

0.968787 0.962120 0.997311 0.828985 1.158266 0.818334 1.067602 0.820110 0.965731 0.851174

0.931095 0.990522 0.990180 0.865375 0.878123 1.027800 0.945357 0.840524 0.935170 1.025137

1.046209 1.007386 1.021760 1.070403 0.903590 1.010936 1.024816 1.067740 1.049265 1.048214

0.940264 0.888452 1.094088 0.909754 1.041115 0.976321 1.099181 0.978096 0.935170 0.843186

1.036022 0.960345 0.972862 1.069515 1.009535 1.165372 0.993236 1.010048 1.041115 0.996735

1.164378 1.099692 1.094088 0.994072 1.185771 0.966558 1.086957 1.029575 1.157247 1.057089

1.060471 1.060640 1.062508 1.268330 1.005461 0.862713 1.068620 1.239928 0.977956 1.105018

0.835337 1.104130 0.794589 0.894665 0.961656 0.920404 0.830244 0.978984 0.897478 1.068628

0.963694 0.745554 1.196977 1.096142 0.992217 1.100580 1.121593 0.999398 1.040097 0.687862

0.937207 0.965670 0.697812 0.712714 1.026853 1.103243 0.793570 0.787270 0.870992 1.063302

1.071676 1.096142 1.320240 1.008273 0.942301 0.913304 1.214295 0.915967 1.122612 1.127207

0.833300 1.094367 0.865898 1.000285 0.960638 1.181348 0.974899 1.037563 0.765047 0.993185

1.191883 0.804133 0.920908 1.057977 0.808851 0.938156 0.869973 1.075728 1.231613 0.837861

0.939245 1.074841 0.787458 0.999398 1.083901 1.053539 0.774215 1.026025 0.893403 1.148508

0.971843 1.307382 1.209201 1.146733 0.769121 0.980759 1.182715 1.113006 0.973881 1.231939

1.105294 0.941706 1.009535 1.045551 1.165397 1.030462 1.075751 1.053539 1.136873 0.883127

0.696793 0.899103 1.166416 0.889340 0.920908 1.090817 1.125668 0.912416 0.643821 1.002948

1.003423 1.023362 0.837374 0.991410 1.125668 0.905316 0.864879 0.955907 1.094088 1.024249

1.213276 0.947919 1.022779 0.978096 1.082882 1.405902 0.990180 0.999398 1.133817 0.892002

0.916833 1.115669 1.158266 0.985197 0.825150 1.005611 1.148079 0.972771 0.915815 1.122769

1.159285 1.016261 1.081863 1.099692 1.263193 0.807684 1.129742 1.091704 1.215314 1.073953

0.709018 0.830760 0.857749 1.077503 0.714111 1.102355 0.857749 1.094367 0.635671 0.770406

1.031947 1.007386 1.065564 0.749992 0.988143 1.054427 1.011573 0.754430 1.174565 1.052651

1.011573 1.130757 1.093069 1.245253 1.013610 0.756205 1.108350 1.159159 0.954525 1.097030

1.104275 0.999398 0.905628 1.147621 1.110387 1.347323 0.915815 1.237265 1.105294 1.080166

0.943320 0.832535 0.928039 0.881352 0.960638 0.939043 0.916833 0.891115 0.873029 0.707389

0.963694 1.038450 0.958600 0.940818 1.147060 1.212413 0.954525 0.862713 1.048246 1.107680

1.035003 1.084604 0.823113 1.055314 0.792552 0.828098 0.849599 1.073953 0.996292 1.051764

1.226519 0.950582 1.073714 0.890227 0.729392 1.138745 1.043153 0.932830 1.254024 1.000285

0.673363 1.146733 1.162341 1.106793 1.040097 0.955019 1.177622 1.066853 0.536857 1.154721

1.077789 0.898215 0.988143 0.836973 1.107331 0.945256 0.991199 0.889340 1.238744 0.817447

0.978974 1.051764 1.113443 1.190224 1.043153 0.907978 1.117518 1.133420 0.892384 1.113893

1.015648 0.908866 0.833300 1.211526 0.841449 1.107680 0.834318 1.260342 1.085938 0.915967

0.979993 1.082829 0.942301 0.823660 1.066583 1.111231 0.930077 0.867150 0.876085 1.091704

1.088994 1.021587 1.022779 0.992297 0.998330 0.814784 1.011573 0.889340 1.155210 0.942593

1.029910 1.180461 0.955544 1.090817 1.027872 1.066853 0.981012 1.110343 0.993236 1.251466

0.884235 1.017149 0.953507 0.863600 1.086957 1.220401 0.920908 0.923067 0.894422 0.983421

0.903590 1.003835 1.061489 1.127207 0.959619 1.021587 1.072695 1.037563 0.919889 1.027800

1.071676 0.862713 1.202070 0.908866 1.050284 0.909754 1.191883 1.016261 1.096125 0.822772

0.909702 1.110343 0.912759 1.183123 1.292735 1.226614 0.964712 1.121881 0.893403 1.204425

1.058433 0.986972 1.054358 1.030462 0.581680 1.201762 1.004442 1.064190 1.073714 0.894665

0.987124 0.994960 0.952488 1.073065 1.100200 0.967445 0.945357 1.014486 0.969806 1.062415

0.868954 0.894665 0.983049 0.927505 1.049265 0.774844 0.970825 0.942593 0.865898 0.849399

1.021760 0.880464 1.165397 1.131645 0.910721 1.007386 1.197996 1.114781 1.107331 0.944369

1.090013 1.001173 0.995274 0.762418 1.160304 0.812121 0.984068 0.823660 1.040097 0.981646

1.118537 1.108568 0.993236 1.100580 0.889328 1.168035 0.981012 0.999398 1.126686 1.122769

0.996292 1.008273 1.078807 0.914191 1.125668 0.756205 1.067602 0.989634 0.973881 1.000285

1.116499 1.223951 0.796626 1.163597 0.836356 1.308270 0.824131 1.128094 1.114462 1.236377

1.116499 0.944369 0.992217 1.058864 1.078807 0.939043 0.959619 1.105905 1.137892 0.808571

0.846543 0.926617 0.835337 0.953244 0.967769 1.096142 0.851636 0.946144 0.811907 1.047326

0.944338 0.974546 1.016666 1.105905 1.128724 1.204425 1.023797 1.057089 0.990180 1.004723

1.140948 1.159159 0.913777 1.040226 0.880160 1.040226 0.935170 1.066853 1.158266 1.103243

1.090013 0.999398 1.219388 1.219514 0.934151 0.837861 1.206145 1.199987 0.998330 0.887564

1.002404 1.059752 1.075751 0.786382 1.111406 1.137858 1.092050 0.875139 1.046209 1.263892

0.939245 0.805021 0.874048 1.070403 1.082882 0.876026 0.892384 0.970108 0.910721 0.678987

0.860805 1.057089 1.035003 0.961232 0.869973 1.303832 0.992217 0.992297 0.900534 1.105905

1.115481 1.196437 0.989161 1.002060 1.108350 0.738454 1.028891 1.011824 1.122612 1.203537

0.992217 0.919517 1.002404 0.980759 0.774215 1.056202 0.974899 0.959457 0.997311 0.926617

1.068620 1.040226 1.117518 0.948806 1.170491 1.186674 1.117518 0.949694 1.050284 1.041113

1.031947 0.835198 0.956563 1.068628 1.148079 1.013599 0.968787 1.073065 1.067602 0.721590

1.048246 1.014486 0.812926 1.031350 0.993236 1.112118 0.813944 1.033125 0.989161 1.110343

0.726336 0.954132 0.944338 1.072178 0.719205 1.010048 0.906646 1.057977 0.717167 0.994072

1.072695 0.962120 1.031947 0.817447 1.130761 1.010936 1.055377 0.836086 1.093069 0.923955

1.109368 1.110343 1.011573 1.089929 1.080845 1.070403 1.023797 1.063302 1.095107 1.057089

1.181696 1.039338 1.058433 1.197324 1.070658 1.042001 1.054358 1.251466 1.145023 1.046439

0.868954 0.934605 0.979993 0.982534 0.855711 1.077503 0.976937 1.016261 0.922946 1.020699

1.008517 1.085491 0.907665 0.913304 1.022779 0.949694 0.904609 0.844961 0.982030 1.045551

1.200033 1.096142 0.948413 1.074841 0.845524 1.075728 0.959619 1.059752 1.214295 1.039338

1.090013 0.939931 0.879141 0.978984 1.247912 0.925730 0.877104 1.034013 1.022779 0.915967

0.825150 0.949694 0.937207 1.048214 0.808851 1.183123 0.933133 1.031350 0.852655 0.990522

1.024816 0.966558 1.284585 0.892002 0.937207 1.046439 1.261155 0.903541 1.081863 0.995847

0.936189 1.065965 1.065564 0.851174 1.130761 0.836973 1.132799 0.853837 0.880160 1.026912

1.028891 0.884014 1.022779 1.010048 1.075751 0.959457 0.986105 0.962120 1.077789 0.875139

1.041115 0.905316 0.898497 1.090817 1.043153 1.161822 0.928039 1.125432 1.014629 0.922179

0.956563 1.241703 0.992217 1.044663 0.885254 0.923067 0.949432 1.078391 0.986105 1.332234

1.077789 0.907978 1.213276 1.141408 1.018704 1.001173 1.233650 1.115669 1.081863 0.666561

0.922946 0.909754 0.640765 1.049989 1.362007 1.150284 0.691700 1.074841 0.874048 1.094367

0.965731 1.006498 0.983049 1.001173 0.754859 0.929280 0.897478 0.986084 1.035003 1.007386

1.121593 1.042888 1.120574 1.094367 1.277455 1.277205 1.127705 1.056202 1.123630 1.032237

1.172528 0.979871 1.212257 1.020699 0.817000 0.820110 1.262174 1.059752 1.099181 1.033125

0.851636 1.166260 0.909702 0.909754 1.095107 1.041113 0.900534 0.903541 0.869973 1.144958

1.007498 0.935493 1.050284 1.034013 0.853674 0.923067 1.005461 0.991410 1.013610 0.815672

0.854692 0.934605 0.951469 1.116556 1.128724 0.942593 0.981012 1.134307 0.908684 1.002060

1.082882 1.143183 1.076770 0.854725 1.247912 0.986084 1.093069 0.914191 1.066583 1.251466

1.058433 0.916854 1.104275 0.918629 0.859786 1.139633 1.093069 0.828985 1.023797 0.696738

0.897478 0.886677 0.924983 1.090817 0.887291 0.989634 0.924983 1.095255 0.820057 0.975433

0.992217 1.114781 0.852655 0.914191 1.054358 1.193774 0.834318 0.978984 1.161322 1.199987

1.137892 0.997622 0.981012 1.168035 1.007498 1.062415 0.959619 1.116556 1.059452 0.988747

1.002404 1.099692 0.855711 0.868926 0.931095 0.865375 0.896459 0.944369 1.017685 1.064190

1.067602 0.793483 1.119555 1.034900 0.884235 1.122769 1.075751 0.976321 1.024816 0.693188

0.790514 0.953244 1.078807 1.195549 1.233650 0.960345 1.102237 1.176910 0.811907 1.083716

0.986105 0.994072 1.127705 0.857387 0.837374 1.062415 1.128724 0.931055 0.994255 1.008273

1.076770 1.007386 0.840431 0.998510 1.282548 0.886677 0.869973 0.935493 1.093069 0.931943

0.922946 1.152059 0.990180 1.033125 0.944338 1.057089 0.944338 1.038450 0.865898 1.176023

1.087976 1.199987 0.989161 1.174248 1.065564 1.071290 0.978974 1.171585 1.150117 1.257679

0.877104 1.041113 0.800701 0.972771 1.083901 1.049989 0.858767 1.032237 0.847562 0.967445

1.045190 0.931055 1.055377 0.998510 0.834318 1.007386 1.015648 0.962120 1.068620 0.918629

1.005461 1.073065 0.938226 0.838748 1.145023 1.255904 0.960638 0.863600 0.986105 1.089929

0.955544 1.051764 1.059452 1.041113 0.883216 0.714489 1.054358 0.948806 0.913777 1.099692

0.998330 0.887564 1.122612 1.054427 1.031947 1.164485 1.126686 1.103243 1.071676 0.807684

1.133817 0.940818 0.932114 0.814784 0.852655 0.930168 0.939245 0.896440 1.084920 1.012711

0.876085 1.183123 1.084920 1.145846 0.910721 0.923955 1.018704 1.040226 0.874048 1.187561

0.907665 0.877801 0.878123 0.986972 1.102237 1.079278 0.928039 1.046439 0.913777 0.781057

1.065564 0.955907 1.099181 1.001173 1.103256 1.009161 1.084920 0.958570 1.113443 1.054427

0.843487 0.976321 1.077789 0.949694 1.226519 1.187561 1.077789 0.950582 0.735504 0.963007

0.954525 0.943481 0.911740 1.051764 0.813944 0.782832 0.929058 1.029575 1.108350 0.939931

1.005461 0.983421 1.019722 1.062415 0.854692 0.994960 0.981012 1.072178 0.944338 1.001173

1.160304 0.940818 0.856730 0.935493 1.022779 1.062415 0.862842 0.967445 1.183734 0.924842

